paper_id,strategy_id,status,play_type,selection,model_prob,odds,ev,advantage_rate,data_quality_score,risk_tags,paper_stake,is_hit,paper_profit
219,candidate_strategy_v1,observation_only,spf,D,0.267933644497489,3.75,0.004751166865583745,0.004751166865583745,85.0,赔率异常,1.0,0,-1.0
220,candidate_strategy_v1,observation_only,spf,D,0.29690427470678254,3.4,0.009474534003060642,0.009474534003060642,85.0,赔率异常,1.0,0,-1.0
221,candidate_strategy_v1,observation_only,spf,D,0.2895961117514782,3.5,0.01358639113017368,0.01358639113017368,85.0,赔率异常,1.0,1,2.5
222,candidate_strategy_v1,observation_only,spf,D,0.26702703768156066,3.75,0.0013513913058524896,0.0013513913058524896,85.0,赔率异常,1.0,0,-1.0
223,candidate_strategy_v1,observation_only,spf,D,0.30375012592914374,3.3,0.002375415566174377,0.002375415566174377,85.0,赔率异常,1.0,0,-1.0
224,candidate_strategy_v1,observation_only,spf,D,0.2867985531826138,3.5,0.003794936139148497,0.003794936139148497,85.0,赔率异常,1.0,1,2.5
225,candidate_strategy_v1,observation_only,spf,D,0.27842506068500594,3.6,0.0023302184660214387,0.0023302184660214387,85.0,赔率异常,1.0,0,-1.0
226,candidate_strategy_v1,observation_only,spf,D,0.29510756690517675,3.4,0.0033657274776008883,0.0033657274776008883,85.0,赔率异常,1.0,1,2.4
227,candidate_strategy_v1,observation_only,spf,D,0.3037346349403727,3.3,0.002324295303229862,0.002324295303229862,85.0,赔率异常,1.0,0,-1.0
228,candidate_strategy_v1,observation_only,spf,D,0.2879916393002718,3.5,0.007970737550951235,0.007970737550951235,85.0,赔率异常,1.0,1,2.5
229,candidate_strategy_v1,observation_only,spf,D,0.30319925285750876,3.3,0.0005575344297787943,0.0005575344297787943,85.0,赔率异常,1.0,0,-1.0
230,candidate_strategy_v1,observation_only,spf,D,0.2893255938392913,3.5,0.012639578437519505,0.012639578437519505,85.0,赔率异常,1.0,0,-1.0
